Id;Genre;Probabilities
I973Sg3YrZk;Gaming; {'17': 0.4, '20': 0.5, '24': 0.1}
zeBWYwDls1A;Sports; {'24': 0.1, '17': 0.7999999999999999, '20': 0.1}
Yw4na2fN5t8;Gaming; {'20': 0.6, '17': 0.4}
a8Tjigv61fk;Sports; {'17': 0.9999999999999999}
lUDIjeDdeqY;Gaming; {'20': 0.6, '17': 0.4}
H1fkDmmZgOU;Gaming; {'20': 0.5, '17': 0.5}
zSrklyuTlkQ;Sports; {'22': 0.1, '17': 0.8999999999999999}
Zy9cOLIrRW8;Sports; {'22': 0.1, '17': 0.8999999999999999}
qlWuLeaZ5JI;Sports; {'17': 0.7999999999999999, '20': 0.2}
S--3Uymo5lI;Sports; {'17': 0.9999999999999999}
Ue32G83Vk1k;Sports; {'17': 0.8999999999999999, '22': 0.1}
pqTWx5MAf_w;Sports; {'17': 0.7999999999999999, '24': 0.1, '22': 0.1}
sQZfQMGYTM4;Sports; {'17': 0.9999999999999999}
